City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Hervey Bay,AU,75.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
583,Pekan,MY,78.8,few clouds,3.4836,103.3996,Pekan Budget Hotel
587,Uniara,IN,81.82,clear sky,26.15,75.2167,Super rajasthani masti comedy
591,Bac Lieu,VN,85.17,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
592,Laguna,US,82.4,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
602,Port-Gentil,GA,80.22,overcast clouds,-0.7193,8.7815,Fengshui Residence
610,Magomeni,TZ,78.8,moderate rain,-6.8,39.25,Conway Hotel
611,Buala,SB,85.05,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
614,Noumea,NC,78.8,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
622,Las Cruces,US,77.0,overcast clouds,32.3123,-106.7783,Days End Lodge
623,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
627,Sao Jose Da Coroa Grande,BR,77.49,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
