City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Taoudenni,ML,22.6783,-3.9836,83.66,13,2,7.87,clear sky
151,Lubao,PH,14.9167,120.55,87.8,54,40,9.22,scattered clouds
152,Fairbanks,US,64.8378,-147.7164,37.0,34,40,4.61,light rain
153,Cross Lanes,US,38.4204,-81.7907,55.99,67,75,6.91,broken clouds
154,Fortuna,US,40.5982,-124.1573,55.0,71,1,13.8,clear sky
155,Acarau,BR,-2.8856,-40.12,79.18,79,99,9.37,overcast clouds
156,Nikolskoye,RU,59.7035,30.7861,44.01,65,0,11.18,light rain
157,Weiser,US,44.251,-116.9693,55.4,15,1,10.36,clear sky
158,Puerto Carreno,CO,6.189,-67.4859,78.93,84,100,3.38,heavy intensity rain
159,Paamiut,GL,61.994,-49.6678,30.99,72,3,7.94,clear sky
160,Namibe,AO,-15.1961,12.1522,79.65,66,17,1.57,few clouds
161,Baniachang,BD,24.5167,91.3667,84.58,54,2,3.98,clear sky
162,Saint-Pierre,RE,-21.3393,55.4781,78.8,69,0,6.91,clear sky
163,Pundaguitan,PH,6.3711,126.1689,82.06,74,100,2.73,overcast clouds
164,Olinda,BR,-8.0089,-34.8553,71.6,94,75,5.75,mist
165,Diffa,NE,13.3154,12.6113,78.71,20,71,10.4,broken clouds
166,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,10.36,broken clouds
167,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.0,71,20,18.41,few clouds
168,Aquiraz,BR,-3.9014,-38.3911,78.8,89,20,4.61,few clouds
169,Hami,CN,42.8,93.45,53.31,37,94,9.98,overcast clouds
170,Amahai,ID,-3.3333,128.9167,84.56,69,10,3.47,clear sky
171,Ambulu,ID,-8.345,113.6058,83.5,72,11,1.39,few clouds
172,Saskylakh,RU,71.9167,114.0833,21.36,85,88,9.01,overcast clouds
173,Nyurba,RU,63.2842,118.3319,16.14,82,76,4.9,broken clouds
174,Hamilton,US,39.1834,-84.5333,51.01,81,90,8.05,overcast clouds
175,Lorengau,PG,-2.0226,147.2712,75.74,90,100,14.79,moderate rain
176,Yellowknife,CA,62.456,-114.3525,8.6,72,75,4.61,light snow
177,Beyneu,KZ,45.3167,55.2,53.42,38,0,12.84,clear sky
178,Deolali,IN,19.95,73.8333,80.64,25,7,5.48,clear sky
179,Porto Novo,BJ,6.4965,2.6036,80.6,83,20,3.44,few clouds
180,Naze,JP,28.3667,129.4833,75.2,69,40,17.27,scattered clouds
181,Adrar,MR,20.5022,-10.0711,74.73,20,1,12.3,clear sky
182,Simao,CN,22.7886,100.9748,77.11,51,43,3.58,scattered clouds
183,Huizhou,CN,23.0833,114.4,75.0,83,68,6.13,broken clouds
184,Pemberton,CA,50.3164,-122.8027,44.6,33,20,2.3,few clouds
185,Half Moon Bay,US,37.4636,-122.4286,59.0,81,1,12.66,haze
186,Tilichiki,RU,60.4667,166.1,11.91,71,17,20.07,few clouds
187,Clyde River,CA,70.4692,-68.5914,24.8,86,90,6.91,overcast clouds
188,Alice Town,BS,25.7167,-79.3,71.71,82,96,14.41,overcast clouds
189,Bilma,NE,18.6853,12.9164,80.29,11,0,10.27,clear sky
190,Araouane,ML,18.9048,-3.5265,83.52,12,0,10.71,clear sky
191,Mehamn,NO,71.0357,27.8492,32.92,70,92,28.41,light snow
192,Cam Ranh,VN,11.9214,109.1591,78.8,89,75,2.3,broken clouds
193,New Norfolk,AU,-42.7826,147.0587,57.99,72,92,1.99,overcast clouds
194,Tayginka,RU,55.6244,60.5076,44.11,88,100,3.94,overcast clouds
195,Chifeng,CN,42.2683,118.9636,58.14,43,50,14.0,scattered clouds
196,Ahuimanu,US,21.4447,-157.8378,75.2,60,20,10.36,light rain
197,Kyra,RU,49.5776,111.9753,25.14,33,6,13.67,clear sky
198,Mount Isa,AU,-20.7333,139.5,78.8,21,19,11.5,few clouds
199,Provideniya,RU,64.3833,-173.3,11.34,84,100,23.71,light snow
200,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.75,98,100,2.95,overcast clouds
201,Key West,US,24.5557,-81.7826,73.4,83,90,13.8,overcast clouds
202,Ballina,AU,-28.8667,153.5667,68.0,48,0,13.8,clear sky
203,Yar-Sale,RU,66.8333,70.8333,27.0,88,15,17.27,few clouds
204,Shenjiamen,CN,29.9576,122.298,61.05,98,100,17.45,light rain
205,Ketchikan,US,55.3422,-131.6461,42.8,61,75,5.75,broken clouds
206,Menongue,AO,-14.6585,17.691,58.32,67,42,5.14,scattered clouds
207,Kaitangata,NZ,-46.2817,169.8464,61.0,89,100,11.01,overcast clouds
208,Revin,FR,49.9404,4.635,30.99,93,40,5.75,scattered clouds
209,Kenai,US,60.5544,-151.2583,37.4,69,40,17.27,scattered clouds
210,Novoagansk,RU,61.9449,76.6625,34.3,91,100,13.62,overcast clouds
211,Muros,ES,42.7762,-9.0603,48.0,60,51,16.08,broken clouds
212,Alofi,NU,-19.0595,-169.9187,82.4,74,93,9.22,overcast clouds
213,Klaksvik,FO,62.2266,-6.589,33.8,86,20,9.01,light rain
214,Sao Pedro Da Aldeia,BR,-22.8392,-42.1028,69.8,100,0,3.44,clear sky
